ID,name,size,address,city,county,city,state,zipcode,Current Zoning,Vacancy,Buildingspace,Application_Entry Date,Vacancy_Description
20,"National Refractories, Former",37.31,41738 Esterly Drive,Columbiana,Columbiana,East Liverpool,OH,43920,Industrial,PARTIALLY_OCCUPIED,0,4-Jun-08,Partially Occupied
21,Goodyear Tire and Rubber,103.25,1144 East Market Street,Akron,Summit,Akron,OH,44308,Commercial/Industrial,PARTIALLY_OCCUPIED,0,1-Jul-08,Partially Occupied
22,"YBM Property, Former",10.3,1505 Logan Avenue,Youngstown,Mahoning,Youngstown,OH,44503,Industrial Light,VACANT,0,31-Jul-08,Vacant
23,Grandview Yard Development,26.63,842 West Goodale Boulevard,Grandview Heights,Franklin,Grandview Heights,OH,432123469,M1 - Commercial/Industrial,PARTIALLY_OCCUPIED,0,3-Aug-08,Partially Occupied
24,Parcel #01.15103,1.74,No address at this time.,Barberton,Summit,Barberton,OH,44203,I1 - Light Industrial,VACANT,0,4-Aug-08,Vacant
25,Parcel #01.15673,1.95,888 Wooster Road West,Barberton,Summit,Barberton,OH,44203,I3 - Heavy Industrial,VACANT,0,4-Aug-08,Vacant
26,Elm Street,9.62,0 Elm Street,Elyria,Lorain,Elyria,OH,44035,Industrial,PARTIALLY_OCCUPIED,0,9-Oct-08,Partially Occupied
27,"Frick-Gallagher Property, Former",5.08,330 South Ewing Street,Lancaster,Fairfield,Lancaster,OH,431309503,Industrial,VACANT,0,21-Oct-08,Vacant
28,East Broadway Warehouse 605 Ltd.,79.41,1769 East Broadway Street,Northwood,Wood,Rossford,OH,43460,Industrial,PARTIALLY_OCCUPIED,219800,29-Oct-08,Partially Occupied
29,Cuyahoga Community College Expansion Project-MetroHealth Skilled Nursing Facilit,106.354,4310 Richmond Road,Highland Hills,Cuyahoga,Cleveland,OH,44114,Institutional,VACANT,0,26-Nov-08,Vacant
30,"Ecological Services of America, Inc. - Dayton",1.44,537 East Monument Avenue,Dayton,Montgomery,Dayton,OH,45402,I- Manufacturing & Light Assembly,VACANT,0,5-Dec-08,Vacant
31,"Diesel Repair Shop, Former",-,600 River Avenue,New Boston,Scioto,New Boston,-,45662,Commercial/Industrial,ORPHANED,0,17-Dec-08,Orphaned/Abandoned
32,Master Vision Polishing,5.75,440 Fair Road,Sidney,Shelby,Sidney,OH,45365,Light Industrial,VACANT,119000,30-Dec-08,Vacant
33,"New Boston Coke Plant, Former",39.8,500-600 River Avenue,New Boston,Scioto,New Boston,OH,45662,Industrial/Commercial,ORPHANED,0,6-Jan-09,Orphaned/Abandoned
34,550 North Third Street,5,550 North Third Street,Hamilton,Butler,Hamilton,OH,45011,Heavy Industrial (I-2),VACANT,0,13-Jul-09,Vacant
35,"3M Site, Former",3,1206 North Fourth Street,Columbus,Franklin,Columbus,OH,43215,Industrial,VACANT,0,14-Jul-09,Vacant
36,STM Property,5.27,810 First Avenue,Middletown,Butler,Middletown,OH,45042,"300 Industrial Vacant Land, 350 Industrial Warehouses Light",PARTIALLY_OCCUPIED,0,15-Jul-09,Partially Occupied
37,NuTone,29.14,4820 Redbank Road; 5235 Madison Road; and Parcel #051-0008-0019,Cincinnati,Hamilton,Cincinnati,OH,45202,Industrial,VACANT,835000,12-Jul-06,Vacant
38,915 West River,3.46,915 West River Road,Elyria,Lorain,Elyria,OH,44035,Industrial,PARTIALLY_OCCUPIED,0,7-Aug-06,Partially Occupied
39,"Celotex Property-321 South Wayne Avenue, Former",27,321 South Wayne Avenue,Lockland,Hamilton,Lockland,OH,45215,Commercial/Industrial,VACANT,450000,22-Aug-06,Vacant
40,"Mud Run Gun Club, Former",13.75,308 and 333 Pleasant Meadow Boulevard,Cuyahoga Falls,Summit,Cuyahoga Falls,OH,44221,R5,VACANT,0,1-Dec-09,Vacant
41,"American Industrial Buildings and Art Metals Properties, Former",6.3,12369 and 12401 Euclid Avenue,Cleveland and East Cleveland,Cuyahoga,Cleveland,OH,44114,"GI-B3 General Industry, SI-C3 Semi-Industry",VACANT,0,2-Dec-09,Vacant
42,JISCO Redevelopment,56,SR 776 & County Road 10,Jackson,Jackson,Jackson,OH,45640,-,VACANT,0,12-Jun-07,Vacant
43,"CSX Chillicothe Rail Yard, Former",8.387,Corner of East 7th Street and Watt Street,Chillicothe,Ross,Chillicothe,OH,45601,Industrial,VACANT,0,25-Oct-07,Vacant
44,XXKEM,3.07,4015 Stickney Avenue,Toledo,Lucas,Toledo,OH,43604,Industrial,VACANT,0,2-Jun-08,Vacant
45,"YS&T Campbell Works Pickling Line, Former",8,20 Walton Avenue,Campbell,Mahoning,Campbell,OH,44405,H-1: Heavy Industrial,VACANT,0,3-Jul-08,Vacant
46,"Aeroquip Property, Former",8.57,1410-1423 Albert Street,Youngstown,Mahoning,Youngstown,OH,44503,Industrial Light,VACANT,0,31-Jul-08,Vacant
47,5300 Division Avenue,2.19,5300 Division Avenue,Cleveland,Cuyahoga,Cleveland,OH,44114,Heavy Industry,VACANT,0,1-Aug-08,Vacant
48,Mill Creek Environmental Center and Interpretive Trail,55,5000 Warner Road,Garfield Heights,Cuyahoga,-,OH,441331009,Industrial U -11B,VACANT,0,4-Aug-08,Vacant
49,Lead Smelter,7.4348,1551 Belden Avenue SE,Canton,Stark,Canton,OH,447014218,I-2 Heavy Industrial,VACANT,0,12-Aug-08,Vacant
50,Brammer/Ironton Wharf,17.69,No address available,Ironton,Lawrence,Ironton,OH,45638,I2 (Industrial),PARTIALLY_OCCUPIED,0,19-Aug-08,Partially Occupied
51,"Canton Drop Forge, Former",-,1100 Market Street SE,Canton,Stark,Canton,OH,447014218,Industrial,ORPHANED,0,5-Dec-08,Orphaned/Abandoned
52,Molly Stark Hospital,34.7017,7900 Columbus Road NE,Louisville,Stark,Canton,OH,44708,R-1 - Single Family Residential,VACANT,0,5-Dec-08,Vacant
53,Mahoningside,6.5,650 Summit Street NW,Warren,Trumbull,Warren,OH,44481,Manufacturing,VACANT,0,5-Dec-08,Vacant
54,"Sparks Fueling Center, Former",11,4393 U.S. Route 40,New Paris,Preble,Eason,OH,45320,"420 (Small Detached Retail Stores Under 10,000 sq. ft.)",VACANT,0,6-Jan-09,Vacant
55,AMONYX,5.56,215 City Park Avenue,Toledo,Lucas,Toledo,OH,43604,Limited Industrial,VACANT,0,24-Apr-09,Vacant
56,Cool's Hoagie Property,0.116,152-154 North Fourth Street,Steubenville,Jefferson,Steubenville,OH,43952,"B-1, Central Business District",VACANT,0,9-Jul-09,Vacant
57,Beazer East,48.5,2563 Front Street,Toledo,Lucas,Toledo,OH,43604,Industrial,VACANT,0,13-Jul-09,Vacant
58,"Linden Place Property, Former Marion MGP",1.096,Southwest corner of West Columbia and Prospect Streets,Marion,Marion,Marion,OH,433011822,Residential,VACANT,0,14-Jul-09,Vacant
59,Ice Creek Land Company,235,Hog Run Road at County Road 24,Ironton,Lawrence,Ironton,-,45638,Commercial,VACANT,0,16-Jul-09,Vacant
60,"Norwalk Foundry, Former",2.5,53 Newton Street,Norwalk,Huron,Norwalk,OH,44857,"300 Industrial Vacant Land, 320 Foundries & Heavy Manufacturing",VACANT,0,17-Jul-09,Vacant
61,"New York Central Railroad, Former",66.19,2701 North Bend Road,Ashtabula,Ashtabula,Ashtabula,OH,44004,Industrial,VACANT,0,16-Sep-09,Vacant
62,Steam Plant,3.5,320 Water Street,Toledo,Lucas,Toledo,OH,43604,Commercial/Industrial,VACANT,50000,6-Jan-06,Vacant
63,"Celotex Property-320 South Wayne Avenue, Former",31.9,320 South Wayne Avenue,Lockland,Hamilton,Lockland,OH,45215,Industrial,PARTIALLY_OCCUPIED,10000,22-Aug-06,Partially Occupied
64,Midland Steel,21,10615 Madison Avenue,Cleveland,Cuyahoga,Cleveland,OH,44114,Commercial/Industrial,VACANT,21000,26-Dec-06,Vacant
65,Collins Property,2.158,1783 Front Street,Cuyahoga Falls,Summit,Cuyahoga Falls,OH,44221,Industrial,VACANT,13700,16-Mar-07,Vacant
66,ETRA LLC,0.597,1839 Front Street,Cuyahoga Falls,Summit,Cuyahoga Falls,OH,44221,Industrial,VACANT,12190,16-Mar-07,Vacant
67,Overlook Area,2.09,1817 Front Street,Cuyahoga Falls,Summit,Cuyahoga Falls,OH,44221,Industrial,VACANT,13700,16-Mar-07,Vacant
68,International Truck & Engine Lagonda Assembly Plant,65,2069 Lagonda Avenue,Springfield,Clark,Springfield,OH,45502,"Commercial/Industrial, Industrial",VACANT,0,19-Mar-07,Vacant
69,24 West Boardman Street,0.16,24 West Boardman Street,Youngstown,Mahoning,Youngstown,OH,44503,B-1,VACANT,3131,3-Oct-08,Vacant
70,Sterling Conveyors,6.2685,28 North Clark Street,Mount Sterling,Madison,Mount Sterling,OH,43143,Industrial,VACANT,95000,23-Mar-07,Vacant
71,Deep Water Marina,7,803 West Shoreline Drive & 0 Water Street,Sandusky,Erie,Sandusky,OH,44870,"Commercial, Residential, Retail",PARTIALLY_OCCUPIED,1500,29-Mar-07,Partially Occupied
72,GCDWR Old Garage,1,223 Center Street,Chardon,Geauga,Chardon,OH,44024,Commercial,PARTIALLY_OCCUPIED,6000,30-Mar-07,Partially Occupied
73,Royal Sebring Properties,20.7,101 South 15th Street,Sebring,Mahoning,Sebring,OH,44672,Industrial,PARTIALLY_OCCUPIED,256000,30-Mar-07,Partially Occupied
74,609 Bank Street,6,609 Bank Street,Painesville,Lake,Painesville,OH,44077,Commercial/Industrial,PARTIALLY_OCCUPIED,15000,21-Dec-07,Partially Occupied
75,Jefferson Smurfit Paper Mill,24.788,401 West Mill Street,Circleville,Pickaway,Circleville,OH,43113,Industrial,VACANT,2000,15-May-08,Vacant
76,Frick Gallagher,6,201 South Michigan Avenue,Wellston,Jackson,Jackson,OH,45640,-,VACANT,0,4-Jun-08,Vacant
77,99 South Seiberling Street,10.36,99 South Seiberling Street,Akron,Summit,Akron,OH,44308,Commercial/Industrial,PARTIALLY_OCCUPIED,276836,6-Jun-08,Partially Occupied
78,Midwest Service,5.816,605 Clark Street,Middletown,Butler,Middletown,OH,45042,Industrial,PARTIALLY_OCCUPIED,135000,22-Jul-08,Partially Occupied
79,Tower on the Maumee,0.71,200 North Street Clair Street,Toledo,Lucas,Toledo,OH,43604,Commercial,VACANT,392000,1-Aug-08,Vacant
80,17 Phelps Street,0.152,17 South Phelps Street,Youngstown,Mahoning,Youngstown,OH,44503,B-1,VACANT,6260,3-Oct-08,Vacant
81,20 West Boardman Street,0.15,20 West Boardman Street,Youngstown,Mahoning,Youngstown,OH,44503,B-1,VACANT,3813,3-Oct-08,Vacant
82,"Lorain Ford Assembly Plant, Former",77.7,5401 Baumhart Road,Lorain,Lorain,Lorain,-,44052,Industrial,VACANT,4100000,8-Oct-08,Vacant
83,Elm Street Campus Mall,0.818,751 Elm Street,Youngstown,Mahoning,Youngstown,OH,44503,INS,PARTIALLY_OCCUPIED,46949,9-Oct-08,Partially Occupied
84,Young Women's Christian Association (YWCA),0.3559,25 West Rayen Avenue,Youngstown,Mahoning,Youngstown,OH,44503,"B-1, Central Business",PARTIALLY_OCCUPIED,53200,9-Oct-08,Partially Occupied
85,Malta Industrial Park,75.197,1833 North River Road,Malta,Morgan,McConnelsville,OH,43756,N/A,PARTIALLY_OCCUPIED,73350,22-Oct-08,Partially Occupied
86,Shoreway Industrial Park,29.5,842 East 79th Street,Cleveland,Cuyahoga,Cleveland,OH,44114,General Industry,ORPHANED,453176,26-Nov-08,Orphaned/Abandoned
87,Goodyear Tire and Rubber Building 116,2.98,200 South Martha Avenue,Akron,Summit,Akron,OH,44308,Commercial/Industrial,VACANT,603000,4-Dec-08,Vacant
88,Crosley Building,1.543,"1333 Arlington Avenue, a.k.a. 1329 Arlington Avenue",Cincinnati,Hamilton,Cincinnati,OH,45202,M-3,VACANT,290000,4-Dec-08,Vacant
89,Kress Building,0.173,111-121 West Federal Street,Youngstown,Mahoning,Youngstown,OH,44503,B-1,VACANT,45000,3-Mar-09,Vacant
90,"General Clay Products, Former",14,550 Zanesville Avenue,Logan,Hocking,Logan,OH,431381276,M-1: Restricted Industrial; and M-2: General Industrial,VACANT,24000,29-Apr-09,Vacant
91,Youngstown Sheet & Tube Office,0.184,2679 West Federal Street,Youngstown,Mahoning,Youngstown,OH,44503,Industrial Heavy,VACANT,8576,8-May-09,Vacant
92,Lake Hospital Systems,8.45,10 East Washington Street,Painesville,Lake,Painesville,OH,44077,B-2,VACANT,270000,20-May-09,Vacant
93,Hercules Trouser Company,0.421,315 East 7th Street,Manchester,Adams,Manchester,OH,45144,Commercial,VACANT,23040,27-May-09,Vacant
94,Landmark Building,0.152,156 South Main Street,Akron,Summit,Akron,OH,44308,Commercial,VACANT,24120,2-Jul-09,Vacant
95,Garden Street Property,37.61,208 Woodford Avenue and 856 Garden Street,Elyria,Lorain,Elyria,OH,44035,"300 Industrial Vacant Land; 330 Manufacturing and Assembly, Medium",PARTIALLY_OCCUPIED,211640,15-Jul-09,Partially Occupied
96,"White Rubber, Former",2.5,835 Cleveland Road,Ravenna,Portage,Ravenna,OH,442661215,I-1 Industrial,VACANT,28000,5-Aug-09,Vacant
97,"Piqua Power Plant, Former",2.815,915 East Main Street,Piqua,Miami,Piqua,OH,45356,Industrial,-,38400,17-Sep-09,-
98,Middlebury MarketPlace,8,881 East Exchange Street,Akron,Summit,Akron,OH,44308,Retail,PARTIALLY_OCCUPIED,67000,13-Jul-06,Partially Occupied
99,Buckeye Property,35,4610 State Road,Cuyahoga Falls,Summit,Cuyahoga Falls,OH,44221,Residential,VACANT,18000,1-Mar-07,Vacant
100,"Bison Corporation, Former",6.05,1935 Allen Avenue SE,Canton,Stark,Canton,OH,447014218,"Commercial/Industrial, Industrial",PARTIALLY_OCCUPIED,107008,21-Mar-07,Partially Occupied
101,Ford Lorain Additional Properties,174.5488,5401 Baumhart Road,Lorain,Lorain,Lorain,OH,44052,Industrial,VACANT,778800,30-Mar-07,Vacant
102,Ohio Fire Brick Company,7.66,255 South Front Street,Oak Hill,Jackson,Jackson,OH,45640,Commercial/Industrial,PARTIALLY_OCCUPIED,0,12-Jun-07,Partially Occupied
103,Columbus Police Heliport,7,681 West 3rd Avenue,Columbus,Franklin,Columbus,-,43215,Commercial,PARTIALLY_OCCUPIED,28000,29-Jul-08,Partially Occupied
104,City of Toledo Warehouse District,37,"Bounded by I-75, Anthony Wayne, Lafayette St, Owens Corning Pkwy, Ottawa St, Clayton St, Broadway.",Toledo,Lucas,Toledo,OH,43604,"C-3, M-1, M-2, and P",PARTIALLY_OCCUPIED,120000,5-Dec-08,Partially Occupied
105,S-21,1.38,209 and 271 South 21st Street,Newark,Licking,Newark,OH,43055,M1 (Light Manufacturing),VACANT,10800,16-Apr-09,Vacant
106,"Brush Pottery, Former",1.65,87 Perry Street,Roseville,Perry,Roseville,OH,43777,Industrial,VACANT,68175,4-May-09,Vacant
107,Penguin Cleaners and Professional Building,0.832,"5637, 5647, 5649-51 Mayfield Road",Lyndhurst,Cuyahoga,Lyndhurst,OH,44124,Commercial,PARTIALLY_OCCUPIED,8241,15-Jul-09,Partially Occupied
108,"Republic Steel Facility, Former",393,410 and 411 Oberlin Avenue SW,Massillon,Stark,Massillon,OH,44646,Industrial,PARTIALLY_OCCUPIED,3000,22-Jul-09,Partially Occupied
109,"Wean United Facility, Former",10.56,219 South Phelps Street,Youngstown,Mahoning,Youngstown,OH,44503,Industrial Unlimited,PARTIALLY_OCCUPIED,150000,24-Jul-09,Partially Occupied
110,Marina District,125,1401 & 1552 Front Street,Toledo,Lucas,Toledo,OH,43604,Commercial/Industrial,VACANT,0,14-Mar-07,Vacant
111,Moore McMillen,1.07,1850 Front Street,Cuyahoga Falls,Summit,Cuyahoga Falls,OH,44221,Industrial,PARTIALLY_OCCUPIED,19141,16-Mar-07,Partially Occupied
112,"B&T Metals Company and Eickhold Glass Company, Former",4.03,425-435 & 401 West Town Street,Columbus,Franklin,Columbus,OH,43215,Manufacturing,PARTIALLY_OCCUPIED,192525,29-Jul-08,Partially Occupied
113,Future Goodyear Headquarters and IRG Hotel,25,200 South Martha Avenue,Akron,Summit,Akron,OH,44308,Industrial,PARTIALLY_OCCUPIED,1861000,1-Aug-08,Partially Occupied
114,"Clauss Cutlery Company, Former",5,223 North Prospect Street,Fremont,Sandusky,Fremont,OH,43420,I-1; Wholesale & Light Industry,VACANT,79000,12-Aug-08,Vacant
115,"Harrison Terminal Building, Former",2.38,1220 Harrison Avenue,Cincinnati,Hamilton,Cincinnati,OH,45202,MG - Manufacturing General,PARTIALLY_OCCUPIED,60180,15-Sep-08,Partially Occupied
116,State Road Shopping Center,24.64,2667-2927 State Road,Cuyahoga Falls,Summit,Cuyahoga Falls,-,44221,MU-4 (Mixed Use),PARTIALLY_OCCUPIED,351802,2-Dec-08,Partially Occupied
117,Ben Venue - Phase 6,14.4,"138-150,154,160 and 190 Northfield Residential Road and 30 West Interstate Road",Bedford,Cuyahoga,Bedford,OH,44146,Industrial,PARTIALLY_OCCUPIED,107400,5-Dec-08,Partially Occupied
118,Plant C,21,2715 Lake Road East,Ashtabula,Ashtabula,Ashtabula,OH,44047,"Commercial/Industrial, Industrial",PARTIALLY_OCCUPIED,150000,7-Feb-07,Partially Occupied
119,Cemex,53,506 East Xenia Drive,Fairborn,Greene,Fairborn,-,45324,I-1 and R-1,VACANT,0,8-Sep-09,Vacant
120,Columbus Coated Fabrics,21.45,Spans four city blocks of North Grant Avenue (1200 to 1400 blocks) and North 6th,Columbus,Franklin,Columbus,OH,43215,"Commercial, Industrial, Residential",VACANT,0,21-Mar-07,Vacant
121,Hercules Engines,26,101 11th Street SE (a.k.a. 1036 Market Avenue South),Canton,Stark,Canton,OH,447014218,"Commercial/Industrial, Urban",PARTIALLY_OCCUPIED,600000,23-Mar-07,Partially Occupied
122,Buck Creek Redevelopment Area,4.5188,"220, 236 Cliff Street and 225, 231, 236-250 Cedar Street",Springfield,Clark,Springfield,OH,45502,Hospital Zone,VACANT,23732,17-Sep-08,Vacant
123,"GNB, Former",4.33,1606 Moxahala Avenue,Zanesville,Muskingum,Zanesville,OH,43701,Industrial,VACANT,62813,2-Jul-09,Vacant
124,Ironton Iron,24.3,2520 South Third Street,Ironton,Lawrence,Ironton,OH,45638,Industrial,VACANT,41150,29-Mar-07,Vacant
125,Providence North Parcels,1.75,"317 and 320 Findlay Street; 1654, 1660, 1668, 1672 Central Avenue; and 1663 Cent",Cincinnati,Hamilton,Cincinnati,OH,45202,MG - Manufacturing-General,PARTIALLY_OCCUPIED,34473,4-Aug-08,Partially Occupied
126,Main and Longview Economic Renewal Project,18.44,500 North Main Street,Mansfield,Richland,Mansfield,OH,44902,Industrial,PARTIALLY_OCCUPIED,200000,24-Nov-08,Partially Occupied
127,Camp Washington Hamilton County Redevelopment Site,16.86,3241 Spring Grove Avenue,Cincinnati,Hamilton,Cincinnati,OH,45202,MG - Manufacturing General,VACANT,636500,27-Aug-08,Vacant
128,Textron Inc. and United Brothers of Carpenters and Joiners of America Properties,50.98,474 and 360 South Nelson Avenue,Wilmington,Clinton,Wilmington,OH,45177,"I-1, Industrial",-,245450,5-Jun-09,-
129,Goodyear Tire and Rubber Archwood Avenue,27.94,1452 and1485 East Archwood Avenue,Akron,Summit,Akron,OH,44308,Commercial/Industrial,-,210400,8-Oct-08,-
151,Old Hudepohl Brewery,1.614,"805 Central Avenue, Suite 700",Cincinnati,Hamilton,Cincinnati,OH,45203,399 Other Industrial Structures,VACANT,210000,5-Jan-10,Vacant
171,Brandman/Swale Project,78,330 Cory Street,Findlay,Hancock,Findlay,OH,45840,Commercial/Industrial,PARTIALLY_OCCUPIED,100000,14-Jan-10,Partially Occupied
231,"Big Bear Store, Former",10,6300 East Livingston Avenue,Reynoldsburg,Franklin,Reynoldsburg,OH,43068,Community Commerce,VACANT,97000,27-Jan-10,Vacant
259,Concord Foods,6,230 Concord Street and 320 Hopeland Street,Dayton,Montgomery,Dayton,OH,45402,I-1 (light industrial),-,45000,1-Feb-10,-
291,King Ohio Forge,8.65,820 Steiner Avenue,Kenton,Hardin,Kenton,OH,43326,-,VACANT,0,2-Feb-10,Vacant
293,McCourt/Shelly And Sands (South) Property,9.27,1506 South State Street,Girard,Trumbull,Youngstown,OH,44503,Commercial Medium Mfg,VACANT,26339,2-Feb-10,Vacant
297,1550 Grand Boulevard Redevelopment (Former Marcell's),7.033,1550 Grand Boulevard,Hamilton,Butler,Hamilton,OH,45011,"I-2, Heavy Industrial",PARTIALLY_OCCUPIED,262961,2-Feb-10,Partially Occupied
299,"Kimball Midwest, Former",3,109 North Front Street,Columbus,Franklin,Columbus,OH,43215,Industrial,VACANT,90000,2-Feb-10,Vacant
301,"Sunar Hauserman Facility, Former",20,6551 Grant Avenue,Cuyahoga Heights,Cuyahoga,Cuyahoga Heights,OH,44125,"General Industry ""B3""; Semi-Industry ""B1""; and Residence Industry ""B2""",PARTIALLY_OCCUPIED,300000,2-Feb-10,Partially Occupied
303,"Fox River Paper Mill, Former",10.872,700 West Court Street,Urbana,Champaign,Urbana,OH,43078,Industrial,VACANT,176500,2-Feb-10,Vacant
351,Rable Machine,2,137 Touby Court,Mansfield,Richland,Mansfield,OH,44902,"Commercial, Industrial",VACANT,30750,8-Feb-10,Vacant
371,"Key Gas Components, Former",1.78,1966 East 66th Street,Cleveland,Cuyahoga,Cleveland,OH,44114,MMUD - Mid-Town Mixed Use District,VACANT,23300,11-Feb-10,Vacant
391,Miceli-Lograsso Development Company III Expansion,16.78,2734 Tennyson Road,Cleveland,Cuyahoga,Cleveland,OH,44114,General Industry,VACANT,0,12-Feb-10,Vacant
411,"Weatherbee Coat Factory, Former",2,461 East Federal Street,Youngstown,Mahoning,Youngstown,OH,44503,Commercial,PARTIALLY_OCCUPIED,65086,22-Feb-10,Partially Occupied
431,Downtown Summit Redevelopment Project,1,"235, 237, 239 North Summit Street; 200 North Saint Clair Street",Toledo,Lucas,Toledo,OH,43604,CD-Downtown Commercial,PARTIALLY_OCCUPIED,36500,17-Mar-10,Partially Occupied
451,"Con Agra Facility, Former",11.4,41 East Cleveland Road,Huron,Erie,Huron,OH,44830,"I-1, General Industrial",VACANT,0,19-Mar-10,Vacant
453,Imperial Electric,1,84 Ira Avenue,Akron,Summit,Akron,OH,44308,Industrial,VACANT,0,19-Mar-10,Vacant
455,"XXth Century Heating, Former",6.74,1250 Edison Avenue,Akron,Summit,Akron,OH,44308,Industrial,VACANT,0,19-Mar-10,Vacant
471,"GE Electromaterials, Former",80,1350 South Second Street,Coshocton,Coshocton,Coshocton,OH,43812,Industrial,VACANT,2400,24-Mar-10,Vacant
491,Ametek Industrial Products,14.01,627 Lake Street,Kent,Portage,Kent,OH,44240,-,PARTIALLY_OCCUPIED,1000,25-Mar-10,Partially Occupied
511,"Rosenblatt Steel, Former",5.2,322 Miami Street,Tiffin,Seneca,Tiffin,OH,44883,M2 - Industrial and R3 - Residential,VACANT,112000,31-Mar-10,Vacant
531,Piqua Memorial Hospital,6,624 Park Avenue and 813 Nicklin Avenue,Piqua,Miami,Piqua,OH,45356,R-3 Milti-family Residential,VACANT,7200,7-Apr-10,Vacant
551,Portage Trail Property,0.66,1110-1130 Portage Trail,Cuyahoga Falls,Summit,Cuyahoga Falls,OH,44221,MU-4 (Mixed Use),VACANT,0,12-Apr-10,Vacant
571,Anaconda Road Property,14.54,114 Anaconda Road,Akron,Summit,Akron,OH,44308,Heavy Industrial,PARTIALLY_OCCUPIED,9926,13-Apr-10,Partially Occupied
591,"YS&T Solid Tube Works, Former (aka Sherman International)",37,Wilson Avenue,Campbell,Mahoning,Campbell,OH,44405,-,VACANT,0,27-Apr-10,Vacant
611,St. Vincent Charity Medical Center,2,2351 East 22nd Street,Cleveland,Cuyahoga,Cleveland,OH,44115,Commercial/Institutional,VACANT,0,12-May-10,Vacant
631,"CSX Rail Depot, Former",12,483 East Main Street,Chillicothe,Ross,Chillicothe,OH,45601,-,VACANT,5000,14-May-10,Vacant
651,"H.P.M. Plant No. 1, Former",7,374 Lincoln Avenue,Mt. Gilead,Morrow,Mt. Gilead,OH,43338,-,PARTIALLY_OCCUPIED,0,17-May-10,Partially Occupied
671,Kingsdale Redevelopment,6,1760/1800 Zollinger Road,Upper Arlington,Franklin,Upper Arlington,OH,43221,PMUD,VACANT,84000,20-May-10,Vacant
691,"Federal Reserve, Former",0.286,105 West Fourth Street,Cincinnati,Hamilton,Cincinnati,OH,45202,DD -- Downtown Development,PARTIALLY_OCCUPIED,191547,2-Jun-10,Partially Occupied
